City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Hamburg,1,1,-,-,-,1,1,2,2,1,2,2,-,1,-,2,4,2,2,2,2,2,2,2,1,1,1,1,1,1,4,4,-,-,-,3,3,1,1,1,2,3,3,1,4,3,3,3,2,-
Budapest,-,2,-,-,-,1,2,2,3,2,2,3,1,1,2,-,5,3,1,1,1,1,2,2,2,2,2,3,1,1,4,4,-,-,-,4,3,2,2,1,2,2,2,3,2,1,1,1,-,-
Reykjavik,5,4,-,-,-,5,4,4,4,4,5,4,4,5,4,5,-,3,6,5,5,5,5,5,4,4,4,3,5,5,5,5,-,-,-,5,5,4,3,5,5,6,7,3,7,6,7,6,6,-
Dublin,3,1,-,-,-,3,2,4,4,1,2,2,2,2,2,3,3,-,3,2,3,3,3,4,2,1,1,2,3,3,3,2,-,-,-,3,3,3,2,2,2,5,5,1,5,4,4,4,4,-
Rome,1,2,-,-,-,2,3,4,4,2,1,2,2,1,2,1,6,3,-,1,1,-,3,3,2,2,2,4,2,2,3,3,-,-,-,2,1,3,3,1,1,3,3,3,2,1,1,1,1,-
Milan,1,1,-,-,-,1,2,3,3,1,1,1,2,1,2,1,5,2,1,-,-,-,3,3,1,1,2,3,2,2,3,3,-,-,-,2,1,3,3,-,-,3,3,2,3,2,2,2,2,-
Venice,1,2,-,-,-,1,2,3,3,2,1,2,2,1,2,1,5,3,1,-,-,-,3,3,1,2,2,3,2,1,3,3,-,-,-,3,2,3,3,1,1,3,3,2,2,1,1,1,1,-
Florence,1,2,-,-,-,1,2,3,3,2,1,2,2,1,2,1,5,3,-,-,-,-,3,3,1,2,2,3,2,2,3,3,-,-,-,2,2,3,3,1,1,3,3,2,2,1,1,1,1,-
Riga,2,3,-,-,-,2,1,-,1,3,3,4,1,2,2,2,5,3,3,3,3,3,-,-,2,2,2,1,1,1,5,5,-,-,-,5,4,1,1,3,3,2,2,3,4,3,3,3,2,-
Vilnius,2,3,-,-,-,2,1,1,1,3,3,4,1,2,2,2,5,4,3,3,3,3,-,-,2,2,3,2,1,1,5,5,-,-,-,5,4,1,2,3,3,1,2,3,3,3,3,3,2,-
Luxembourg,1,-,-,-,-,1,1,3,3,1,1,1,1,1,1,2,4,2,2,1,1,1,2,2,-,-,-,2,2,2,3,3,-,-,-,2,2,2,2,1,1,3,3,1,3,3,3,2,2,-
Amsterdam,2,-,-,-,-,1,1,3,3,1,1,2,1,1,1,2,4,1,2,1,2,2,2,2,-,-,-,2,2,2,3,3,-,-,-,3,2,2,1,1,1,3,4,1,4,3,3,3,2,-
Rotterdam,2,-,-,-,-,1,1,3,3,1,1,2,1,1,1,2,4,1,2,2,2,2,2,3,-,-,-,2,2,2,3,3,-,-,-,3,2,2,1,1,1,3,4,-,4,3,3,3,2,-
Oslo,2,2,-,-,-,2,1,1,1,2,3,3,1,2,1,3,3,2,4,3,3,3,1,2,2,2,2,-,2,2,5,4,-,-,-,4,4,1,-,3,3,3,4,2,5,4,4,4,3,-
Warsaw,1,2,-,-,-,1,1,1,2,2,2,3,1,1,1,1,5,3,2,2,2,2,1,1,2,2,2,2,-,-,5,5,-,-,-,4,3,1,2,2,2,1,2,3,3,2,2,2,1,-
Krakow,1,2,-,-,-,1,1,2,2,2,2,3,1,1,1,1,5,3,2,2,1,2,1,1,2,2,2,2,-,-,5,4,-,-,-,4,3,2,2,2,2,1,2,2,2,2,2,2,1,-
Lisbon,4,3,-,-,-,4,4,6,6,2,2,2,4,3,4,4,5,3,3,3,3,3,5,5,3,3,3,5,5,5,-,-,-,-,-,1,2,5,5,3,3,6,6,3,5,4,4,4,4,-
Porto,4,3,-,-,-,4,4,5,6,2,2,1,4,3,4,4,5,2,3,3,3,3,5,5,3,3,3,4,5,4,-,-,-,-,-,1,2,5,4,3,2,6,6,2,5,4,4,4,4,-
Bucharest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bratislava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ljubljana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madrid,3,2,-,-,-,3,4,5,5,2,2,1,3,3,3,4,5,3,2,2,3,2,5,5,2,3,3,4,4,4,1,1,-,-,-,-,1,5,4,2,2,5,5,2,4,4,4,3,4,-
Barcelona,2,2,-,-,-,2,3,5,5,2,1,1,3,2,3,3,5,3,1,1,2,2,4,4,2,2,2,4,3,3,2,2,-,-,-,1,-,4,4,2,1,4,4,2,3,3,3,3,3,-
Stockholm,2,2,-,-,-,2,1,1,1,3,3,4,1,2,1,2,4,3,3,3,3,3,1,1,2,2,2,1,1,2,5,5,-,-,-,5,4,-,1,3,3,2,3,2,4,3,4,3,3,-
Gothenburg,2,2,-,-,-,2,-,1,1,2,2,3,1,2,1,2,3,2,3,3,3,3,1,2,2,1,1,-,2,2,5,4,-,-,-,4,4,1,-,2,2,3,3,2,4,3,3,3,3,-
Zurich,1,1,-,-,-,1,2,3,3,1,1,1,1,-,1,1,5,2,1,-,1,1,3,3,1,1,1,3,2,2,3,3,-,-,-,2,2,3,2,-,-,3,3,2,3,2,2,2,2,-
Geneva,1,1,-,-,-,1,2,3,4,1,-,1,2,1,2,2,5,2,1,-,1,1,3,3,1,1,1,3,2,2,3,2,-,-,-,2,1,3,2,-,-,3,3,1,3,2,2,2,2,-
Kyiv,2,3,-,-,-,2,2,2,2,4,3,4,2,2,3,2,6,5,3,3,3,3,2,1,3,3,3,3,1,1,6,6,-,-,-,5,4,2,3,3,3,-,1,4,3,2,2,2,2,-
Odessa,2,4,-,-,-,2,3,3,3,4,4,4,3,3,3,2,7,5,3,3,3,3,2,2,3,4,4,4,2,2,6,6,-,-,-,5,4,3,3,3,3,1,-,4,2,2,2,2,2,-
London,2,1,-,-,-,2,2,3,3,1,1,1,2,2,1,3,3,1,3,2,2,2,3,3,1,1,-,2,3,2,3,2,-,-,-,2,2,2,2,2,1,4,4,-,4,3,3,3,3,-
Athens,2,4,-,-,-,3,4,4,4,4,3,4,3,3,4,2,7,5,2,3,2,2,4,3,3,4,4,5,3,2,5,5,-,-,-,4,3,4,4,3,3,3,2,4,-,1,1,1,1,-
Skopje,1,3,-,-,-,2,3,3,4,3,2,3,2,2,3,1,6,4,1,2,1,1,3,3,3,3,3,4,2,2,4,4,-,-,-,4,3,3,3,2,2,2,2,3,1,-,-,-,1,-
Tirana,1,3,-,-,-,2,3,4,4,3,2,3,3,2,3,1,7,4,1,2,1,1,3,3,3,3,3,4,2,2,4,4,-,-,-,4,3,4,3,2,2,2,2,3,1,-,-,-,1,-
Podgorica,1,3,-,-,-,2,3,3,4,3,2,3,2,2,3,1,6,4,1,2,1,1,3,3,2,3,3,4,2,2,4,4,-,-,-,3,3,3,3,2,2,2,2,3,1,-,-,-,1,-
Belgrade,1,2,-,-,-,1,2,3,3,3,2,3,2,1,2,-,6,4,1,2,1,1,2,2,2,2,2,3,1,1,4,4,-,-,-,4,3,3,3,2,2,2,2,3,1,1,1,1,-,-
Chisinau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
