City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Lyon,142,92,-,-,-,132,204,323,335,66,-,79,159,95,158,177,428,183,118,54,92,98,294,283,74,110,110,264,220,197,228,207,-,-,-,163,100,277,233,54,13,325,329,125,296,222,219,198,193,-
Bordeaux,220,126,-,-,-,206,258,385,394,82,79,-,222,172,210,256,409,158,181,129,168,170,358,353,126,147,142,304,294,274,154,129,-,-,-,100,83,331,279,132,92,403,408,129,364,296,289,270,271,-
Berlin,98,108,-,-,-,56,55,164,176,146,159,222,-,92,37,130,383,209,202,154,147,165,136,134,97,91,102,130,91,97,376,349,-,-,-,318,258,121,92,119,152,212,248,146,308,224,236,214,169,-
Munich,49,110,-,-,-,44,147,245,259,123,95,172,92,-,112,88,445,228,110,67,55,73,211,195,81,110,119,220,128,103,322,301,-,-,-,256,183,211,183,41,83,230,239,159,243,160,165,142,115,-
Hamburg,130,86,-,-,-,86,48,176,185,129,158,210,37,112,-,165,347,175,221,165,166,184,155,160,86,66,76,110,126,134,362,332,-,-,-,309,257,122,76,129,154,246,285,116,341,257,267,245,203,-
Budapest,41,194,-,-,-,82,178,229,246,211,177,256,130,88,165,-,512,312,129,132,96,105,191,162,167,189,200,253,94,56,399,382,-,-,-,329,248,220,215,125,164,155,152,243,178,95,111,91,39,-
Reykjavik,475,344,-,-,-,431,346,410,401,362,428,409,383,445,347,512,-,251,537,470,490,506,423,454,373,337,330,289,459,478,479,443,-,-,-,480,492,354,316,439,434,565,620,303,686,602,610,587,549,-
Dublin,270,118,-,-,-,233,208,332,334,117,183,158,209,228,175,312,251,-,298,231,260,272,320,332,147,124,113,213,299,299,259,223,-,-,-,239,241,267,207,207,191,420,452,69,467,386,388,366,342,-
Rome,121,193,-,-,-,149,256,344,360,181,118,181,202,110,221,129,537,298,-,68,55,37,308,284,165,202,208,329,214,178,296,288,-,-,-,224,138,318,293,100,108,281,260,236,183,122,111,95,119,-
Milan,104,126,-,-,-,110,206,311,325,114,54,129,154,67,165,132,470,231,68,-,39,43,278,261,99,137,142,275,193,164,267,251,-,-,-,197,119,275,240,37,43,286,282,168,241,168,164,143,142,-
Venice,75,147,-,-,-,95,202,294,309,144,92,168,147,55,166,96,490,260,55,39,-,18,259,238,118,153,160,275,168,135,305,289,-,-,-,234,152,265,238,53,79,251,244,193,208,131,129,108,103,-
Florence,89,162,-,-,-,113,220,311,326,155,98,170,165,73,184,105,506,272,37,43,18,-,275,253,133,169,176,293,183,148,301,288,-,-,-,229,145,282,256,67,86,260,248,207,198,126,121,101,106,-
Riga,187,240,-,-,-,168,112,38,56,281,294,358,136,211,155,191,423,320,308,278,259,275,-,38,233,221,230,136,97,135,513,485,-,-,-,454,391,69,119,248,286,149,216,269,348,277,296,280,224,-
Vilnius,164,241,-,-,-,153,126,73,91,280,283,353,134,195,160,162,454,332,284,261,238,253,38,-,229,224,234,165,70,107,507,481,-,-,-,446,377,101,142,234,274,113,179,276,311,243,263,248,192,-
Luxembourg,125,30,-,-,-,94,134,259,269,51,74,126,97,81,86,167,373,147,165,99,118,133,233,229,-,38,43,190,176,164,280,252,-,-,-,224,172,208,160,66,73,292,313,78,321,240,243,220,195,-
Amsterdam,148,22,-,-,-,110,113,242,250,65,110,147,91,110,66,189,337,124,202,137,153,169,221,224,38,-,11,159,180,176,297,267,-,-,-,247,205,185,132,103,110,300,329,56,353,270,275,252,222,-
Rotterdam,159,18,-,-,-,121,121,251,258,60,110,142,102,119,76,200,330,113,208,142,160,176,230,234,43,11,-,163,191,187,289,259,-,-,-,241,203,193,138,109,112,311,340,45,362,279,284,261,232,-
Oslo,226,180,-,-,-,186,76,131,128,222,264,304,130,220,110,253,289,213,329,275,275,293,136,165,190,159,163,-,178,205,448,415,-,-,-,404,362,67,38,239,262,276,335,184,430,348,362,341,291,-
Warsaw,94,194,-,-,-,89,113,135,152,227,220,294,91,128,126,94,459,299,214,193,168,183,97,70,176,180,191,178,-,38,447,424,-,-,-,383,311,132,145,169,210,121,162,236,259,183,202,185,129,-
Krakow,60,187,-,-,-,71,134,173,190,214,197,274,97,103,134,56,478,299,178,164,135,148,135,107,164,176,187,205,38,-,425,403,-,-,-,358,282,166,169,144,186,129,153,232,226,147,165,147,91,-
Lisbon,368,276,-,-,-,359,409,538,546,233,228,154,376,322,362,399,479,259,296,267,305,301,513,507,280,297,289,448,447,425,-,37,-,-,-,73,158,482,427,281,239,551,548,264,470,419,406,392,407,-
Porto,348,246,-,-,-,336,379,508,517,204,207,129,349,301,332,382,443,223,288,251,289,288,485,481,252,267,259,415,424,403,37,-,-,-,-,72,152,451,395,260,219,531,533,230,466,409,398,382,393,-
Bucharest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bratislava,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ljubljana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Madrid,300,226,-,-,-,295,357,482,492,182,163,100,318,256,309,329,480,239,224,197,234,229,454,446,224,247,241,404,383,358,73,72,-,-,-,-,85,430,379,214,173,483,477,225,398,346,333,319,335,-
Barcelona,223,185,-,-,-,225,304,422,434,146,100,83,258,183,257,248,492,241,138,119,152,145,391,377,172,205,203,362,311,282,158,152,-,-,-,85,-,377,332,143,106,403,393,203,315,260,248,233,251,-
Stockholm,202,207,-,-,-,170,74,66,67,250,277,331,121,211,122,220,354,267,318,275,265,282,69,101,208,185,193,67,132,166,482,451,-,-,-,430,377,-,60,240,272,214,277,225,391,313,330,311,257,-
Gothenburg,188,153,-,-,-,148,38,125,128,197,233,279,92,183,76,215,316,207,293,240,238,256,119,142,160,132,138,38,145,169,427,395,-,-,-,379,332,60,-,204,229,250,304,167,393,311,325,304,254,-
Zurich,88,95,-,-,-,82,171,280,293,93,54,132,119,41,129,125,439,207,100,37,53,67,248,234,66,103,109,239,169,144,281,260,-,-,-,214,143,240,204,-,42,271,277,140,260,181,181,159,144,-
Geneva,130,95,-,-,-,122,200,316,328,74,13,92,152,83,154,164,434,191,108,43,79,86,286,274,73,110,112,262,210,186,239,219,-,-,-,173,106,272,229,42,-,313,316,131,284,210,207,186,180,-
Kyiv,183,313,-,-,-,199,226,176,193,343,325,403,212,230,246,155,565,420,281,286,251,260,149,113,292,300,311,276,121,129,551,531,-,-,-,483,403,214,250,271,313,-,73,356,238,193,216,211,164,-
Odessa,190,338,-,-,-,220,275,247,264,360,329,408,248,239,285,152,620,452,260,282,244,248,216,179,313,329,340,335,162,153,548,533,-,-,-,477,393,277,304,277,316,73,-,385,174,150,172,174,142,-
London,201,49,-,-,-,165,157,287,292,60,125,129,146,159,116,243,303,69,236,168,193,207,269,276,78,56,45,184,236,232,264,230,-,-,-,225,203,225,167,140,131,356,385,-,399,318,320,298,273,-
Athens,212,351,-,-,-,255,356,384,403,353,296,364,308,243,341,178,686,467,183,241,208,198,348,311,321,353,362,430,259,226,470,466,-,-,-,398,315,391,393,260,284,238,174,399,-,84,79,101,139,-
Skopje,127,269,-,-,-,171,273,314,332,274,222,296,224,160,257,95,602,386,122,168,131,126,277,243,240,270,279,348,183,147,419,409,-,-,-,346,260,313,311,181,210,193,150,318,84,-,23,27,56,-
Tirana,138,272,-,-,-,182,287,334,352,274,219,289,236,165,267,111,610,388,111,164,129,121,296,263,243,275,284,362,202,165,406,398,-,-,-,333,248,330,325,181,207,216,172,320,79,23,-,23,73,-
Podgorica,116,250,-,-,-,159,266,318,336,252,198,270,214,142,245,91,587,366,95,143,108,101,280,248,220,252,261,341,185,147,392,382,-,-,-,319,233,311,304,159,186,211,174,298,101,27,23,-,56,-
Belgrade,75,224,-,-,-,118,217,262,280,236,193,271,169,115,203,39,549,342,119,142,103,106,224,192,195,222,232,291,129,91,407,393,-,-,-,335,251,257,254,144,180,164,142,273,139,56,73,56,-,-
Chisinau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
