City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Lyon,172,112,209,-,170,161,249,-,407,81,-,96,194,115,192,215,-,-,143,66,111,119,357,-,-,133,134,321,268,240,277,251,332,187,139,198,121,337,283,65,15,395,400,152,-,270,266,241,235,367
Bordeaux,268,153,302,-,265,251,314,-,479,100,96,-,270,210,255,311,-,-,220,157,204,207,436,-,-,179,172,370,358,333,188,157,427,283,235,122,101,403,339,161,111,489,496,156,-,360,352,329,329,463
Berlin,119,131,213,-,162,68,67,-,214,178,194,270,-,112,45,158,-,-,245,187,179,201,166,-,-,111,124,158,111,118,457,424,276,125,156,387,314,147,112,145,185,257,302,177,-,272,287,260,205,264
Munich,60,133,128,-,75,53,178,-,315,149,115,210,112,-,136,107,-,-,133,81,67,89,257,-,-,134,145,267,156,125,392,366,233,74,54,311,222,257,222,50,101,280,291,193,-,194,201,173,139,256
Hamburg,158,105,251,-,197,104,59,-,225,157,192,255,45,136,-,201,-,-,268,201,202,224,188,-,-,80,92,134,154,163,440,404,321,165,187,375,313,148,92,156,187,300,347,141,-,312,325,298,246,309
Budapest,50,236,69,-,51,99,217,-,300,256,215,311,158,107,201,-,-,-,157,161,117,128,233,-,-,230,243,307,115,68,486,465,128,37,80,400,302,267,262,152,200,189,185,295,-,116,134,111,47,152
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rome,147,234,107,-,110,181,312,-,438,220,143,220,245,133,268,157,-,-,-,82,67,44,375,-,-,246,253,401,260,216,360,350,232,155,95,272,168,387,356,121,131,342,316,287,-,149,135,116,145,291
Milan,126,153,144,-,111,134,251,-,395,138,66,157,187,81,201,161,-,-,82,-,47,53,338,-,-,166,172,335,235,199,325,305,270,139,81,240,144,334,292,44,52,347,343,204,-,205,200,174,173,311
Venice,91,179,98,-,66,115,245,-,376,176,111,204,179,67,202,117,-,-,67,47,-,22,314,-,-,187,195,334,204,164,371,352,223,101,38,284,185,322,289,64,96,305,296,235,-,160,157,131,126,266
Florence,108,196,96,-,77,137,267,-,396,189,119,207,201,89,224,128,-,-,44,53,22,-,334,-,-,206,214,356,222,180,366,350,224,118,54,278,177,343,311,81,104,316,301,251,-,153,147,122,129,273
Riga,227,292,301,-,268,204,137,-,68,342,357,436,166,257,188,233,-,-,375,338,314,334,-,-,-,268,280,165,118,164,623,589,290,221,280,552,475,83,145,301,347,181,263,327,-,336,360,341,273,233
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amsterdam,180,26,262,-,208,133,137,-,304,79,133,179,111,134,80,230,-,-,246,166,187,206,268,-,-,-,14,193,219,214,361,324,358,193,187,300,249,225,160,125,134,365,400,68,-,328,334,306,270,362
Rotterdam,193,22,273,-,220,147,147,-,314,72,134,172,124,145,92,243,-,-,253,172,195,214,280,-,-,14,-,198,232,228,352,314,371,206,197,294,247,234,168,133,137,378,413,55,-,339,345,317,282,376
Oslo,275,218,368,-,318,226,92,-,155,270,321,370,158,267,134,307,-,-,401,335,334,356,165,-,-,193,198,-,217,250,544,504,409,278,314,491,440,82,46,290,318,336,407,224,-,423,440,415,354,372
Warsaw,114,236,183,-,152,108,137,-,185,276,268,358,111,156,154,115,-,-,260,235,204,222,118,-,-,219,232,217,-,47,544,515,193,106,168,466,378,160,176,206,256,147,197,287,-,222,245,224,156,160
Krakow,73,227,137,-,107,86,163,-,231,260,240,333,118,125,163,68,-,-,216,199,164,180,164,-,-,214,228,250,47,-,516,490,161,62,126,435,343,202,206,175,226,157,186,282,-,179,200,179,111,148
Lisbon,447,335,461,-,436,436,498,-,664,283,277,188,457,392,440,486,-,-,360,325,371,366,623,-,-,361,352,544,544,516,-,44,589,462,406,89,192,586,519,341,290,670,667,321,-,509,494,476,495,636
Porto,424,299,446,-,416,408,461,-,628,248,251,157,424,366,404,465,-,-,350,305,352,350,589,-,-,324,314,504,515,490,44,-,573,438,386,87,185,549,480,316,266,646,648,280,-,498,484,465,477,616
Bucharest,178,364,128,-,163,225,324,-,356,382,332,427,276,233,321,128,-,-,232,270,223,224,290,-,-,358,371,409,193,161,589,573,-,165,194,501,398,351,366,273,317,153,90,423,-,93,119,122,98,81
Bratislava,15,199,90,-,47,62,186,-,286,222,187,283,125,74,165,37,-,-,155,139,101,118,221,-,-,193,206,278,106,62,462,438,165,-,64,378,284,245,232,122,172,209,217,258,-,147,163,137,81,181
Ljubljana,54,184,77,-,31,89,223,-,343,192,139,235,156,54,187,80,-,-,95,81,38,54,280,-,-,187,197,314,168,126,406,386,194,64,-,321,223,294,268,80,124,267,262,243,-,143,147,120,96,230
Madrid,365,274,373,-,350,358,434,-,599,221,198,122,387,311,375,400,-,-,272,240,284,278,552,-,-,300,294,491,466,435,89,87,501,378,321,-,104,523,461,261,210,587,580,274,-,420,405,387,407,550
Barcelona,271,225,270,-,251,273,370,-,528,178,121,101,314,222,313,302,-,-,168,144,185,177,475,-,-,249,247,440,378,343,192,185,398,284,223,104,-,458,404,174,129,490,478,247,-,317,302,284,305,449
Stockholm,246,251,334,-,290,207,90,-,82,304,337,403,147,257,148,267,-,-,387,334,322,343,83,-,-,225,234,82,160,202,586,549,351,245,294,523,458,-,73,292,330,260,337,274,-,380,401,378,313,304
Gothenburg,229,187,322,-,272,180,46,-,155,239,283,339,112,222,92,262,-,-,356,292,289,311,145,-,-,160,168,46,176,206,519,480,366,232,268,461,404,73,-,248,279,304,370,203,-,378,395,369,309,334
Zurich,107,115,155,-,109,99,208,-,356,113,65,161,145,50,156,152,-,-,121,44,64,81,301,-,-,125,133,290,206,175,341,316,273,122,80,261,174,292,248,-,51,330,336,171,-,220,220,193,175,303
Geneva,158,115,194,-,154,148,243,-,399,90,15,111,185,101,187,200,-,-,131,52,96,104,347,-,-,134,137,318,256,226,290,266,317,172,124,210,129,330,279,51,-,381,385,159,-,255,251,226,219,352
Kyiv,223,380,238,-,240,242,274,-,235,417,395,489,257,280,300,189,-,-,342,347,305,316,181,-,-,365,378,336,147,157,670,646,153,209,267,587,490,260,304,330,381,-,89,433,-,235,263,256,199,73
Odessa,231,411,209,-,231,267,334,-,321,438,400,496,302,291,347,185,-,-,316,343,296,301,263,-,-,400,413,407,197,186,667,648,90,217,262,580,478,337,370,336,385,89,-,468,-,183,209,211,173,38
London,245,60,320,-,268,201,191,-,355,72,152,156,177,193,141,295,-,-,287,204,235,251,327,-,-,68,55,224,287,282,321,280,423,258,243,274,247,274,203,171,159,433,468,-,-,386,390,362,332,430
Athens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Skopje,155,327,66,-,120,208,332,-,404,333,270,360,272,194,312,116,-,-,149,205,160,153,336,-,-,328,339,423,222,179,509,498,93,147,143,420,317,380,378,220,255,235,183,386,-,-,28,33,69,169
Tirana,168,331,74,-,129,221,349,-,428,333,266,352,287,201,325,134,-,-,135,200,157,147,360,-,-,334,345,440,245,200,494,484,119,163,147,405,302,401,395,220,251,263,209,390,-,28,-,28,89,196
Podgorica,141,304,47,-,101,194,323,-,409,306,241,329,260,173,298,111,-,-,116,174,131,122,341,-,-,306,317,415,224,179,476,465,122,137,120,387,284,378,369,193,226,256,211,362,-,33,28,-,69,193
Belgrade,91,272,39,-,66,143,264,-,340,286,235,329,205,139,246,47,-,-,145,173,126,129,273,-,-,270,282,354,156,111,495,477,98,81,96,407,305,313,309,175,219,199,173,332,-,69,89,69,-,146
Chisinau,196,373,184,-,200,230,297,-,294,402,367,463,264,256,309,152,-,-,291,311,266,273,233,-,-,362,376,372,160,148,636,616,81,181,230,550,449,304,334,303,352,73,38,430,-,169,196,193,146,-
