City,Vienna,Brussels,Sarajevo,Sofia,Zagreb,Prague,Copenhagen,Tallinn,Helsinki,Paris,Lyon,Bordeaux,Berlin,Munich,Hamburg,Budapest,Reykjavik,Dublin,Rome,Milan,Venice,Florence,Riga,Vilnius,Luxembourg,Amsterdam,Rotterdam,Oslo,Warsaw,Krakow,Lisbon,Porto,Bucharest,Bratislava,Ljubljana,Madrid,Barcelona,Stockholm,Gothenburg,Zurich,Geneva,Kyiv,Odessa,London,Athens,Skopje,Tirana,Podgorica,Belgrade,Chisinau
Lyon,11,7,13,18,11,10,16,25,-,5,-,6,12,7,12,13,-,-,9,4,7,7,22,22,6,8,8,-,17,15,-,16,21,12,9,12,8,21,18,4,1,25,25,10,22,17,-,-,15,23
Bordeaux,17,10,19,24,17,16,20,29,-,6,6,-,17,13,16,19,-,-,14,10,13,13,27,27,10,11,11,-,22,21,-,10,27,18,15,8,6,25,21,10,7,31,31,10,28,22,-,-,21,29
Berlin,7,8,13,17,10,4,4,12,-,11,12,17,-,7,3,10,-,-,15,12,11,13,10,10,7,7,8,-,7,7,-,27,17,8,10,24,20,9,7,9,12,16,19,11,23,17,-,-,13,16
Munich,4,8,8,13,5,3,11,19,-,9,7,13,7,-,9,7,-,-,8,5,4,6,16,15,6,8,9,-,10,8,-,23,15,5,3,19,14,16,14,3,6,18,18,12,18,12,-,-,9,16
Hamburg,10,7,16,19,12,7,4,13,-,10,12,16,3,9,-,13,-,-,17,13,13,14,12,12,7,5,6,-,10,10,-,25,20,10,12,23,20,9,6,10,12,19,22,9,26,20,-,-,15,19
Budapest,3,15,4,7,3,6,14,17,-,16,13,19,10,7,13,-,-,-,10,10,7,8,15,12,13,14,15,-,7,4,-,29,8,2,5,25,19,17,16,9,12,12,12,18,14,7,-,-,3,9
Reykjavik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dublin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rome,9,15,7,11,7,11,19,26,-,14,9,14,15,8,17,10,-,-,-,5,4,3,23,22,13,15,16,-,16,14,-,22,14,10,6,17,10,24,22,8,8,21,20,18,14,9,-,-,9,18
Milan,8,10,9,14,7,8,16,24,-,9,4,10,12,5,13,10,-,-,5,-,3,3,21,20,8,10,11,-,15,12,-,19,17,9,5,15,9,21,18,3,3,22,21,13,18,13,-,-,11,19
Venice,6,11,6,11,4,7,15,22,-,11,7,13,11,4,13,7,-,-,4,3,-,1,20,18,9,12,12,-,13,10,-,22,14,6,2,18,12,20,18,4,6,19,19,15,16,10,-,-,8,17
Florence,7,12,6,11,5,9,17,24,-,12,7,13,13,6,14,8,-,-,3,3,1,-,21,19,10,13,13,-,14,11,-,22,14,7,3,17,11,21,19,5,7,20,19,16,15,10,-,-,8,17
Riga,14,18,19,19,17,13,9,3,-,21,22,27,10,16,12,15,-,-,23,21,20,21,-,3,18,17,17,-,7,10,-,37,18,14,18,35,30,5,9,19,22,11,16,20,26,21,-,-,17,15
Vilnius,12,18,17,17,15,12,10,6,-,21,22,27,10,15,12,12,-,-,22,20,18,19,3,-,17,17,18,-,5,8,-,37,15,12,16,34,29,8,11,18,21,9,14,21,24,18,-,-,15,12
Luxembourg,10,2,14,19,11,7,10,20,-,4,6,10,7,6,7,13,-,-,13,8,9,10,18,17,-,3,3,-,13,12,-,19,21,10,9,17,13,16,12,5,6,22,24,6,24,18,-,-,15,22
Amsterdam,11,2,16,21,13,8,9,18,-,5,8,11,7,8,5,14,-,-,15,10,12,13,17,17,3,-,1,-,14,13,-,20,22,12,12,19,16,14,10,8,8,23,25,4,27,20,-,-,17,23
Rotterdam,12,1,17,22,14,9,9,19,-,5,8,11,8,9,6,15,-,-,16,11,12,13,17,18,3,1,-,-,15,14,-,20,23,13,12,18,15,15,10,8,9,24,26,3,27,21,-,-,18,23
Oslo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warsaw,7,15,11,13,10,7,9,10,-,17,17,22,7,10,10,7,-,-,16,15,13,14,7,5,13,14,15,-,-,3,-,32,12,7,10,29,24,10,11,13,16,9,12,18,20,14,-,-,10,10
Krakow,5,14,9,10,7,5,10,13,-,16,15,21,7,8,10,4,-,-,14,12,10,11,10,8,12,13,14,-,3,-,-,31,10,4,8,27,21,13,13,11,14,10,12,18,17,11,-,-,7,9
Lisbon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Porto,26,19,28,33,26,26,29,39,-,15,16,10,27,23,25,29,-,-,22,19,22,22,37,37,19,20,20,-,32,31,-,-,36,27,24,5,12,34,30,20,17,40,40,18,35,31,-,-,30,38
Bucharest,11,23,8,3,10,14,20,21,-,24,21,27,17,15,20,8,-,-,14,17,14,14,18,15,21,22,23,-,12,10,-,36,-,10,12,31,25,22,23,17,20,10,6,26,9,6,-,-,6,5
Bratislava,1,12,6,9,3,4,12,17,-,14,12,18,8,5,10,2,-,-,10,9,6,7,14,12,10,12,13,-,7,4,-,27,10,-,4,24,18,15,14,8,11,13,14,16,16,9,-,-,5,11
Ljubljana,3,12,5,10,2,6,14,20,-,12,9,15,10,3,12,5,-,-,6,5,2,3,18,16,9,12,12,-,10,8,-,24,12,4,-,20,14,18,17,5,8,17,16,15,15,9,-,-,6,14
Madrid,23,17,23,28,22,22,27,37,-,14,12,8,24,19,23,25,-,-,17,15,18,17,35,34,17,19,18,-,29,27,-,5,31,24,20,-,6,33,29,16,13,37,36,17,30,26,-,-,25,34
Barcelona,17,14,17,22,16,17,23,32,-,11,8,6,20,14,20,19,-,-,10,9,12,11,30,29,13,16,15,-,24,21,-,12,25,18,14,6,-,29,25,11,8,31,30,15,24,20,-,-,19,28
Stockholm,15,16,21,23,18,13,6,5,-,19,21,25,9,16,9,17,-,-,24,21,20,21,5,8,16,14,15,-,10,13,-,34,22,15,18,33,29,-,5,18,21,16,21,17,30,24,-,-,20,19
Gothenburg,14,12,20,23,17,11,3,10,-,15,18,21,7,14,6,16,-,-,22,18,18,19,9,11,12,10,10,-,11,13,-,30,23,14,17,29,25,5,-,16,17,19,23,13,30,24,-,-,19,21
Zurich,7,7,10,15,7,6,13,21,-,7,4,10,9,3,10,9,-,-,8,3,4,5,19,18,5,8,8,-,13,11,-,20,17,8,5,16,11,18,16,-,3,21,21,11,20,14,-,-,11,19
Geneva,10,7,12,17,10,9,15,24,-,6,1,7,12,6,12,12,-,-,8,3,6,7,22,21,6,8,9,-,16,14,-,17,20,11,8,13,8,21,17,3,-,24,24,10,22,16,-,-,14,22
Kyiv,14,24,15,12,15,15,17,13,-,26,25,31,16,18,19,12,-,-,21,22,19,20,11,9,22,23,24,-,9,10,-,40,10,13,17,37,31,16,19,21,24,-,6,27,18,15,-,-,12,5
Odessa,14,26,13,9,14,17,21,19,-,27,25,31,19,18,22,12,-,-,20,21,19,19,16,14,24,25,26,-,12,12,-,40,6,14,16,36,30,21,23,21,24,6,-,29,13,11,-,-,11,2
London,15,4,20,25,17,13,12,22,-,5,10,10,11,12,9,18,-,-,18,13,15,16,20,21,6,4,3,-,18,18,-,18,26,16,15,17,15,17,13,11,10,27,29,-,30,24,-,-,21,27
Athens,16,27,10,7,14,19,27,29,-,27,22,28,23,18,26,14,-,-,14,18,16,15,26,24,24,27,27,-,20,17,-,35,9,16,15,30,24,30,30,20,22,18,13,30,-,6,-,-,11,14
Skopje,10,20,4,2,7,13,21,24,-,21,17,22,17,12,20,7,-,-,9,13,10,10,21,18,18,20,21,-,14,11,-,31,6,9,9,26,20,24,24,14,16,15,11,24,6,-,-,-,4,11
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Podgorica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Belgrade,6,17,2,4,4,9,16,20,-,18,15,21,13,9,15,3,-,-,9,11,8,8,17,15,15,17,18,-,10,7,-,30,6,5,6,25,19,20,19,11,14,12,11,21,11,4,-,-,-,9
Chisinau,12,23,11,8,12,14,19,17,-,25,23,29,16,16,19,9,-,-,18,19,17,17,15,12,22,23,23,-,10,9,-,38,5,11,14,34,28,19,21,19,22,5,2,27,14,11,-,-,9,-
